doc_id,title,brand,model,variant,category
5468589044249961327,Promati H - 3) Bandschraper H,Promati,H,standaard,Bandschraper
5048214389288772475,Promati H - 4) Bandschraper H - Implanting,Promati,H,standaard,Bandschraper
2953549675382088754,Promati R - 5) Bandschraper R,Promati,R,standaard,Bandschraper
2014482211774046663,Promati P - 6) Bandschraper P,Promati,P,standaard,Bandschraper
6590385981782074878,Promati 7) Bandschraper RV - 7) Bandschraper RV,Promati,7) Bandschraper RV,standaard,Bandschraper
4724319561181209010,Promati 8) Bandschraper K - 8) Bandschraper K,Promati,8) Bandschraper K,standaard,Bandschraper
2544807694442308335,Promati R - 1) Slijtplaten - Belle Liner,Promati,R,standaard,Slijtplaten
3028909795226788380,Promati 2) Sancic - 2) Sancic,Promati,2) Sancic,standaard,Slijtplaten
177955011672318233,Promati H - Overkapping Achenbach,Promati,H,standaard,Overkapping
6624919147169981871,Promati BLU-TEC - Price list Proload 2026 - BLU-TEC - Price list Proload 2026,Promati,BLU-TEC - Price list Proload 2026,standaard,12. ProLoad
5136894796940092163,Promati BLU-TEC-Datasheet-Proload (4) - BLU-TEC-Datasheet-Proload (4),Promati,BLU-TEC-Datasheet-Proload (4),standaard,12. ProLoad
1293143328671966848,Promati BLU-TEC-Flowchart-Proload_pdf (3) - BLU-TEC-Flowchart-Proload_pdf (3),Promati,BLU-TEC-Flowchart-Proload_pdf (3),standaard,12. ProLoad
8788030619929093880,Promati BLU-TEC-Installation-guide (4) - BLU-TEC-Installation-guide (4),Promati,BLU-TEC-Installation-guide (4),standaard,12. ProLoad
8426281059291373746,Promati BLU-TEC-Maintenance-instructions-Proload-ENG (4) - BLU-TEC-Maintenance-instructions-Proload-ENG (4),Promati,BLU-TEC-Maintenance-instructions-Proload-ENG (4),standaard,12. ProLoad
7506763050712573100,Promati BLU-TEC-Questionnaires-Proload (6) - BLU-TEC-Questionnaires-Proload (6),Promati,BLU-TEC-Questionnaires-Proload (6),standaard,12. ProLoad
